"Abomasnow","https://static.wikia.nocookie.net/espokemon/images/b/b9/Abomasnow.png/revision/latest/scale-to-width-down/350?cb=20170615165510","Tipo planta","Tipo hielo","Nevada","","Abomasnow es un Pokémon de tipo planta/hielo introducido en la cuarta generación. Es la evolución de Snover, a partir de la sexta generación puede megaevolucionar en Mega-Abomasnow."
"Abra","https://static.wikia.nocookie.net/espokemon/images/f/f6/Abra.png/revision/latest/scale-to-width-down/260?cb=20080901113000","Tipo psíquico","","Sincronía","Foco interno","Abra es un Pokémon de tipo psíquico introducido en la primera generación."
"Absol","https://static.wikia.nocookie.net/espokemon/images/7/7d/Absol.png/revision/latest/scale-to-width-down/260?cb=20080910094012","Tipo siniestro","","Presión","Afortunado","Absol es un Pokémon de tipo siniestro introducido en la tercera generación. A partir de la sexta generación puede megaevolucionar en Mega-Absol."
"Accelgor","https://static.wikia.nocookie.net/espokemon/images/7/7a/Accelgor.png/revision/latest/scale-to-width-down/260?cb=20110111032833","Tipo bicho","","Hidratación","Viscosidad","Accelgor es un Pokémon de tipo bicho introducido en la quinta generación. Es la forma evolucionada de Shelmet."
"Aegislash","https://static.wikia.nocookie.net/espokemon/images/8/86/Aegislash.png/revision/latest/scale-to-width-down/260?cb=20131015155737","Tipo acero","Tipo fantasma","Cambio táctico","","Aegislash es un Pokémon de tipo acero/fantasma introducido en la sexta generación. Es la evolución de Doublade."
"Aerodactyl","https://static.wikia.nocookie.net/espokemon/images/e/e6/Aerodactyl.png/revision/latest/scale-to-width-down/350?cb=20170615170617","Tipo roca","Tipo volador","Cabeza roca","Presión","Aerodactyl es un Pokémon de tipo roca/volador introducido en la primera generación. Es un Pokémon fósil, a partir de la sexta generación puede megaevolucionar en Mega-Aerodactyl."
"Aggron","https://static.wikia.nocookie.net/espokemon/images/1/1e/Aggron.png/revision/latest/scale-to-width-down/350?cb=20170615170906","Tipo acero","Tipo roca","Cabeza roca","Robustez","Aggron es un Pokémon de tipo acero/roca introducido en la tercera generación. Es la evolución de Lairon, a partir de la sexta generación puede megaevolucionar en Mega-Aggron."
"Aipom","https://static.wikia.nocookie.net/espokemon/images/b/bd/Aipom.png/revision/latest/scale-to-width-down/260?cb=20140207190223","Tipo normal","","Fuga","Recogida","A partir de su pronunciación, su nombre proviene de las palabras en inglés ape (simio, un tipo de primate) y palm (palma de la mano, en referencia a la forma de su cola)."
"Alakazam","https://static.wikia.nocookie.net/espokemon/images/f/f5/Alakazam.png/revision/latest/scale-to-width-down/350?cb=20170615171153","Tipo psíquico","","Foco interno","Sincronía","Alakazam es un Pokémon de tipo psíquico introducido en la primera generación. Es la evolución de Kadabra y, a partir de la sexta generación, puede megaevolucionar en Mega-Alakazam."
"Alcremie","https://static.wikia.nocookie.net/espokemon/images/4/4d/Alcremie.png/revision/latest/scale-to-width-down/350?cb=20190709002717","Tipo hada","","Velo dulce","","Alcremie podría derivar de las palabras en inglés ""alchemy"" (""alquimia"") y ""cremy"" (""cremoso"")."
